T,H,D,kv_len,variant,splits,allclose,max_abs,mean_abs,median_us,min_us,max_us
8,16,512,8192,candidate,128,1,0.000244140625,9.800780389923602e-06,69.22599859535694,68.86100163683295,69.97650198172778
16,16,512,136,default,16,1,0.0009765625,5.3306270274333656e-05,51.422498654574156,50.845497753471136,52.21600004006177
16,16,512,136,candidate,1,1,0.0009765625,5.767709080828354e-05,28.828499489463866,28.70749740395695,29.105448629707098
16,16,512,320,default,16,1,0.00048828125,3.694401675602421e-05,51.962502766400576,50.96700042486191,52.98844771459699
16,16,512,320,candidate,1,1,0.00048828125,3.894947440130636e-05,46.61499988287687,46.594999730587006,46.870450023561716
16,16,512,388,default,16,1,0.00048828125,3.3416170481359586e-05,51.41949804965407,50.74194923508912,52.35850112512708
16,16,512,388,candidate,4,1,0.00048828125,3.497742727631703e-05,50.90199992991984,50.779449520632625,51.37250118423253
16,16,512,512,default,16,1,0.00048828125,2.9343824280658737e-05,51.703499048016965,51.307998364791274,52.58744931779802
16,16,512,512,candidate,4,1,0.00048828125,3.063866461161524e-05,50.855500739999115,50.657999236136675,51.34450038895011
16,16,512,768,default,16,1,0.00048828125,2.4674185624462552e-05,51.856000209227204,50.975949852727354,52.63499915599823
16,16,512,768,candidate,16,1,0.00048828125,2.4674185624462552e-05,51.60495056770742,51.08399782329798,51.88899813219905
16,16,512,1024,default,16,1,0.00048828125,2.181734271289315e-05,51.83749890420586,51.12749931868166,52.931951358914375
16,16,512,1024,candidate,16,1,0.00048828125,2.181734271289315e-05,52.1229492733255,51.21600115671754,52.32045077718794
16,16,512,2048,default,16,1,0.000244140625,1.638642424950376e-05,51.797000924125314,51.304997759871185,52.602001233026385
16,16,512,2048,candidate,32,1,0.000244140625,1.6138281353050843e-05,51.89194926060736,51.54749960638583,52.716449135914445
16,16,512,4096,default,16,1,0.000244140625,1.268546657229308e-05,52.555452566593885,52.02449974603951,54.70695032272488
16,16,512,4096,candidate,64,1,0.000244140625,1.2317785149207339e-05,71.16850174497813,71.00599759723991,71.28294964786619
16,16,512,8192,default,16,1,0.000244140625,1.0163143087993376e-05,81.94099937099963,81.77995041478425,82.54150161519647
16,16,512,8192,candidate,64,1,0.000244140625,1.0016903615905903e-05,103.13245002180338,102.96649998053908,103.29094948247075
24,16,512,136,default,16,1,0.0009765625,5.353576852940023e-05,51.804998656734824,51.115002133883536,52.201448124833405
24,16,512,136,candidate,1,1,0.0009765625,5.850617526448332e-05,29.341000481508672,28.798449784517288,29.48949986603111
24,16,512,320,default,16,1,0.00048828125,3.6650388210546225e-05,52.30499955359846,52.010497893206775,53.0684512341395
24,16,512,320,candidate,1,1,0.0009765625,3.901716263499111e-05,46.590500278398395,46.536949230358005,46.880499576218426
24,16,512,388,default,16,1,0.00048828125,3.343819116707891e-05,51.30545177962631,51.02499853819609,52.25850036367774
24,16,512,388,candidate,4,1,0.00048828125,3.488013317110017e-05,51.4389481395483,50.66649755463004,51.96845158934593
24,16,512,512,default,16,1,0.00048828125,2.9284541597007774e-05,52.233997848816216,51.65894981473684,52.832000073976815
24,16,512,512,candidate,4,1,0.00048828125,3.0503677407978103e-05,51.15850071888417,51.108450861647725,51.50400102138519
24,16,512,768,default,16,1,0.00048828125,2.467375270498451e-05,51.77400016691536,51.499452092684805,53.56494802981615
24,16,512,768,candidate,16,1,0.00048828125,2.467375270498451e-05,51.70550139155239,51.52345111127943,52.44000058155507
24,16,512,1024,default,16,1,0.00048828125,2.173331995436456e-05,51.87244969420135,51.62049783393741,53.072499576956034
24,16,512,1024,candidate,16,1,0.00048828125,2.173331995436456e-05,52.33100091572851,51.90295050852001,52.674999460577965
24,16,512,2048,default,16,1,0.000244140625,1.644497024244629e-05,52.87195090204477,52.617001347243786,53.47350088413805
24,16,512,2048,candidate,32,1,0.000244140625,1.6159254300873727e-05,53.649998153559864,53.336998098529875,53.672000649385154
24,16,512,4096,default,16,1,0.000244140625,1.2696661542577203e-05,85.07395104970783,84.81194963678718,85.70250065531582
24,16,512,4096,candidate,32,1,0.000244140625,1.2563784366648179e-05,76.73694926779717,76.64799923077226,77.34549872111529
24,16,512,8192,default,16,1,0.000244140625,1.0194387868978083e-05,151.97595057543367,151.88044926617295,152.5790023151785
24,16,512,8192,candidate,32,1,0.000244140625,1.0127263522008434e-05,126.963498769328,126.84094836004078,127.20944941975176
32,16,512,136,default,8,1,0.0009765625,5.504506771103479e-05,51.9825000083074,51.69800133444369,53.46300022210926
32,16,512,136,candidate,1,1,0.0009765625,5.828595021739602e-05,28.971998835913837,28.76899961847812,29.56849930342287
32,16,512,320,default,8,1,0.00048828125,3.715933416970074e-05,51.99044826440513,51.24949966557324,53.71799925342202
32,16,512,320,candidate,1,1,0.00048828125,3.91027242585551e-05,47.170999459922314,46.992499846965075,47.38694988191128
32,16,512,388,default,8,1,0.00048828125,3.417809057282284e-05,51.98549770284444,51.84745241422206,53.316447883844376
32,16,512,388,candidate,4,1,0.00048828125,3.484902117634192e-05,51.87349743209779,51.61750013940036,52.25494969636202
32,16,512,512,default,8,1,0.00048828125,3.0008575777173974e-05,51.51095101609826,51.24350136611611,52.18650039751083
32,16,512,512,candidate,4,1,0.00048828125,3.066586214117706e-05,51.19999987073243,50.884950906038284,51.74594989512116
32,16,512,768,default,8,1,0.00048828125,2.5279065084760077e-05,51.3829494593665,51.111000357195735,51.97844875510782
32,16,512,768,candidate,16,1,0.00048828125,2.459615279803984e-05,51.35799874551594,50.854499568231404,51.62599845789373
32,16,512,1024,default,8,1,0.00048828125,2.2281206838670187e-05,51.304951193742454,51.09099729452282,52.60600009933114
32,16,512,1024,candidate,16,1,0.00048828125,2.1750634914496914e-05,51.520002307370305,51.24300078023225,52.02345200814307
32,16,512,2048,default,8,1,0.000244140625,1.6656165826134384e-05,52.77850141283125,52.28200170677155,53.2849517185241
32,16,512,2048,candidate,32,1,0.000244140625,1.619652539375238e-05,69.10599768161774,68.91799857839942,69.55350108910352
32,16,512,4096,default,8,1,0.000244140625,1.2804179277736694e-05,82.66649965662509,82.49095117207617,83.44395027961582
32,16,512,4096,candidate,32,1,0.000244140625,1.2599548426805995e-05,100.77894839923829,99.86645018216223,100.9055005852133
32,16,512,8192,default,8,1,0.000244140625,1.0204792488366365e-05,153.95400114357471,153.72245106846094,154.8899512272328
32,16,512,8192,candidate,32,1,0.000244140625,1.0101538464368787e-05,171.87490011565387,171.58544796984643,172.09694779012352
48,16,512,136,default,8,1,0.0009765625,5.514811346074566e-05,51.6425003297627,51.029500900767744,52.49049863778055
48,16,512,136,candidate,1,1,0.0009765625,5.829959991388023e-05,29.056452331133187,28.56350038200617,29.289998929016292
48,16,512,320,default,8,1,0.00048828125,3.704390110215172e-05,51.769500714726746,51.59699940122664,52.66649823170155
48,16,512,320,candidate,1,1,0.00048828125,3.902561729773879e-05,46.99300043284893,46.71849892474711,47.103449469432235
48,16,512,388,default,8,1,0.00048828125,3.4392549423500896e-05,51.24600138515234,50.65050208941102,52.46200016699731
48,16,512,388,candidate,4,1,0.00048828125,3.5025768738705665e-05,51.33744853083044,51.249502575956285,51.8184999236837
48,16,512,512,default,8,1,0.00048828125,2.993491943925619e-05,51.39000131748617,51.31450016051531,52.33895208220929
48,16,512,512,candidate,4,1,0.00048828125,3.0472798243863508e-05,51.52900121174753,51.19349807500839,51.9284512847662
48,16,512,768,default,8,1,0.00048828125,2.5285142328357324e-05,51.878951489925385,51.20850109960884,52.89799883030355
48,16,512,768,candidate,16,1,0.00048828125,2.4628021492389962e-05,51.638000877574086,51.2969505507499,51.942450227215886
48,16,512,1024,default,8,1,0.00048828125,2.2213414922589436e-05,52.873449749313295,52.73550050333142,53.6809500772506
48,16,512,1024,candidate,16,1,0.00048828125,2.1756253772764467e-05,54.06295240391046,53.86944976635277,54.32549805846065
48,16,512,2048,default,8,1,0.000244140625,1.668903132667765e-05,85.47350007575005,85.3664503665641,85.92600061092526
48,16,512,2048,candidate,16,1,0.000244140625,1.6395813872804865e-05,77.32200028840452,77.06099713686854,77.70294905640185
48,16,512,4096,default,8,1,0.000244140625,1.2828986655222252e-05,152.28394768200815,152.10245037451386,152.61195076163858
48,16,512,4096,candidate,16,1,0.000244140625,1.273014822800178e-05,126.63244851864874,126.47349794860929,127.04844994004816
48,16,512,8192,default,8,1,0.0001220703125,1.022015931084752e-05,294.01145002339035,293.94140001386404,294.5734013337642
48,16,512,8192,candidate,16,1,0.000244140625,1.0192858098889701e-05,239.44244894664735,236.99345183558762,245.10689836461097
64,16,512,136,default,4,1,0.0009765625,5.60152911930345e-05,50.747449859045446,50.46699952799827,51.64545145817101
64,16,512,136,candidate,1,1,0.0009765625,5.80944906687364e-05,28.822998865507543,28.41549867298454,28.965450474061072
64,16,512,320,default,4,1,0.0009765625,3.7713853089371696e-05,51.21400172356516,50.93544896226376,52.53595008980483
64,16,512,320,candidate,1,1,0.0009765625,3.9085040043573827e-05,47.278497368097305,47.01650177594274,47.38199932035059
64,16,512,388,default,4,1,0.00048828125,3.473709512036294e-05,51.20999994687736,50.588001613505185,52.11294919718057
64,16,512,388,candidate,4,1,0.00048828125,3.473709512036294e-05,51.366499974392354,51.06995231471956,51.69700016267598
64,16,512,512,default,4,1,0.00048828125,3.0593564588343725e-05,51.45150062162429,51.06949829496443,53.300001309253275
64,16,512,512,candidate,4,1,0.00048828125,3.0593564588343725e-05,51.24495073687285,50.976499915122986,51.484498544596136
64,16,512,768,default,4,1,0.00048828125,2.5670249669929035e-05,52.16900026425719,51.82000168133527,52.587949903681874
64,16,512,768,candidate,16,1,0.00048828125,2.4717925043660216e-05,57.141948491334915,57.08994867745787,57.18650063499808
64,16,512,1024,default,4,1,0.00048828125,2.263428359583486e-05,52.4090020917356,51.62495071999729,53.01399796735495
64,16,512,1024,candidate,16,1,0.00048828125,2.187696736655198e-05,69.29899973329157,69.0815009875223,69.64294880162925
64,16,512,2048,default,4,1,0.00048828125,1.685735333012417e-05,85.1724500535056,85.1404998684302,85.44445154257119
64,16,512,2048,candidate,16,1,0.00048828125,1.6411209799116477e-05,100.06494994740933,99.86250079236925,100.1934491796419
64,16,512,4096,default,4,1,0.000244140625,1.2858025002060458e-05,157.81944966875017,157.1894477820024,158.25150185264647
64,16,512,4096,candidate,16,1,0.000244140625,1.2710714145214297e-05,172.04544856213033,171.10595072153956,172.4289992125705
64,16,512,8192,default,4,1,0.000244140625,1.0244595614494756e-05,301.15740082692355,300.7474006153643,302.1554002771154
64,16,512,8192,candidate,16,1,0.000244140625,1.0166846550418995e-05,313.7288993457332,313.2729500066489,314.3729001749307
72,16,512,136,default,4,1,0.0009765625,5.577383126365021e-05,50.85649900138378,50.36400107201189,51.6275002155453
72,16,512,136,candidate,1,1,0.0009765625,5.824149775435217e-05,28.698501409962773,28.45499839168042,29.256948619149625
72,16,512,320,default,4,1,0.0009765625,3.7859383155591786e-05,51.21600115671754,50.74000218883157,52.09895025473088
72,16,512,320,candidate,1,1,0.0009765625,3.913512409781106e-05,47.99349990207702,47.91645042132586,48.24550123885274
72,16,512,388,default,4,1,0.00048828125,3.4630746085895225e-05,50.98799883853644,50.81950221210718,51.675448776222765
72,16,512,388,candidate,4,1,0.00048828125,3.4630746085895225e-05,51.19650159031153,51.09050252940506,51.82845052331686
72,16,512,512,default,4,1,0.00048828125,3.0665367376059294e-05,51.785001414828,51.52100056875497,52.92695132084191
72,16,512,512,candidate,4,1,0.00048828125,3.0665367376059294e-05,52.113449783064425,51.76700069569051,52.29450180195272
72,16,512,768,default,4,1,0.00048828125,2.5592427846277133e-05,51.857950165867805,51.65449983906001,52.286501158960164
72,16,512,768,candidate,16,1,0.00048828125,2.4575945644755848e-05,59.976501506753266,59.82200091239065,60.49195071682334
72,16,512,1024,default,4,1,0.00048828125,2.2512313080369495e-05,52.161450730636716,51.866998546756804,53.45295066945255
72,16,512,1024,candidate,16,1,0.00048828125,2.178757313231472e-05,71.75549981184304,71.41295063775033,72.44299922604114
72,16,512,2048,default,4,1,0.000244140625,1.682424044702202e-05,86.01995068602264,85.63799783587456,86.43250039312989
72,16,512,2048,candidate,16,1,0.000244140625,1.6458112440886907e-05,103.69700030423701,103.62399916630238,104.26394874230027
72,16,512,4096,default,4,1,0.000244140625,1.288340899918694e-05,166.30294849164784,165.0294492719695,167.13094955775887
72,16,512,4096,candidate,16,1,0.000244140625,1.2719702681351919e-05,179.57495001610368,178.94244811031967,180.6044514523819
72,16,512,8192,default,4,1,0.000244140625,1.0237686183245387e-05,313.4124504867941,313.1609002593905,313.739400007762
72,16,512,8192,candidate,16,1,0.000244140625,1.0144297448277939e-05,329.5668982900679,328.3528989413753,330.09040053002536
96,16,512,136,default,2,1,0.0009765625,5.6721979490248486e-05,51.22200236655772,50.98349938634783,52.42694751359522
96,16,512,136,candidate,1,1,0.0009765625,5.800582221127115e-05,28.855999698862433,28.808499337174,29.5300007564947
96,16,512,320,default,2,1,0.00048828125,3.867034683935344e-05,51.39900022186339,51.185450865887105,52.545449580065906
96,16,512,320,candidate,1,1,0.0009765625,3.908446888090111e-05,49.142001080326736,48.98049810435623,49.38294878229499
96,16,512,388,default,2,1,0.00048828125,3.5288569051772356e-05,52.04449989832938,51.65100155863911,52.940999739803374
96,16,512,388,candidate,4,1,0.00048828125,3.470314186415635e-05,51.7884996952489,51.552499644458294,53.28794941306114
96,16,512,512,default,2,1,0.00048828125,3.114072387688793e-05,52.408999181352556,52.22350009717047,53.27600229065865
96,16,512,512,candidate,4,1,0.00048828125,3.0668830731883645e-05,55.83945021498948,55.620502098463476,56.69750098604709
96,16,512,768,default,2,1,0.00048828125,2.6005354811786674e-05,68.71100049465895,68.63550224807113,69.18945000506938
96,16,512,768,candidate,8,1,0.00048828125,2.5122468287008815e-05,66.7584507027641,66.41349755227566,67.16895150020719
96,16,512,1024,default,2,1,0.00048828125,2.2904197976458818e-05,85.75395040679723,85.52994986530393,86.08895004726946
96,16,512,1024,candidate,8,1,0.00048828125,2.225545722467359e-05,79.32994922157377,79.26950056571513,79.74894833751023
96,16,512,2048,default,2,1,0.000244140625,1.6918318578973413e-05,154.58745183423162,154.403448686935,155.03100003115833
96,16,512,2048,candidate,8,1,0.000244140625,1.665246600168757e-05,129.49795054737478,129.457947332412,129.66849899385124
96,16,512,4096,default,2,1,0.000244140625,1.282457378692925e-05,297.8058997541666,297.49895038548857,297.92390123475343
96,16,512,4096,candidate,8,1,0.000244140625,1.2811178748961538e-05,240.9489476121962,238.94240148365498,243.95594955421984
96,16,512,8192,default,2,1,0.000244140625,1.0189029126195237e-05,572.609348455444,572.2222995245829,573.0728502385318
96,16,512,8192,candidate,8,1,0.000244140625,1.0208083949692082e-05,454.42490081768483,452.1818511420861,462.1103493263945
128,16,512,136,default,2,1,0.0009765625,5.688102464773692e-05,50.99249829072505,50.69244944024831,51.93350079935044
128,16,512,136,candidate,1,1,0.0009765625,5.804027387057431e-05,28.519498300738633,28.32349855452776,29.014001484028995
128,16,512,320,default,2,1,0.0009765625,3.880967415170744e-05,50.97849934827536,50.79194961581379,52.26750217843801
128,16,512,320,candidate,1,1,0.0009765625,3.929601371055469e-05,49.843499436974525,49.74945040885359,50.15700007788837
128,16,512,388,default,2,1,0.00048828125,3.525410284055397e-05,51.253498531877995,51.13299994263798,52.07300127949566
128,16,512,388,candidate,4,1,0.00048828125,3.470659430604428e-05,53.90449950937182,53.83349780458957,54.06044947449118
128,16,512,512,default,2,1,0.00048828125,3.115398794761859e-05,54.199001169763505,53.968001157045364,54.3814996490255
128,16,512,512,candidate,4,1,0.00048828125,3.0713086744071916e-05,58.82844852749258,58.79400123376399,58.89899912290275
128,16,512,768,default,2,1,0.00048828125,2.5914097932400182e-05,71.63950067479163,71.41545065678656,71.91250042524189
128,16,512,768,candidate,8,1,0.00048828125,2.5184364858432673e-05,85.92350059188902,85.6860016938299,86.04394970461726
128,16,512,1024,default,2,1,0.00048828125,2.2816922864876688e-05,89.21099943108857,88.91445177141577,89.33449862524867
128,16,512,1024,candidate,8,1,0.00048828125,2.2248785171541385e-05,103.32149977330118,103.01749862264842,103.90095121692866
128,16,512,2048,default,2,1,0.000244140625,1.6972486264421605e-05,161.47395072039217,161.14794998429716,161.84895066544414
128,16,512,2048,candidate,8,1,0.000244140625,1.6715528545319103e-05,175.72545039001852,175.30849727336317,175.87690090294927
128,16,512,4096,default,2,1,0.000244140625,1.2879517271358054e-05,305.1873994991183,303.99090028367937,306.2828996917233
128,16,512,4096,candidate,8,1,0.000244140625,1.2819011317333207e-05,315.7849016133696,315.27740065939724,317.06639856565744
128,16,512,8192,default,2,1,0.000244140625,1.019272895064205e-05,588.8462997972965,588.4288519155234,590.9268511459231
128,16,512,8192,candidate,8,1,0.000244140625,1.0178531738347374e-05,601.1557998135686,600.3552989568561,602.1962995873764
