T,H,D,kv_len,splits,allclose,max_abs,mean_abs,median_us,min_us,max_us
4,16,512,512,16,1,0.00048828125,2.881072214222513e-05,50.965999253094196,50.618499517440796,51.47299962118268
4,16,512,768,1,1,0.00048828125,2.5891367840813473e-05,102.76944958604872,102.69000194966793,103.31295197829604
4,16,512,768,2,1,0.00048828125,2.60190136032179e-05,57.33450234401971,57.231500977650285,57.70949937868863
4,16,512,768,4,1,0.00048828125,2.566086368460674e-05,50.66650046501309,50.444999942556024,50.953502068296075
4,16,512,768,8,1,0.00048828125,2.5215063942596316e-05,50.93450017739087,50.39749958086759,52.1025009220466
4,16,512,768,16,1,0.00048828125,2.4525050321244635e-05,50.88299803901464,50.23844714742154,50.97099929116666
4,16,512,1024,1,1,0.000244140625,2.281703746120911e-05,134.6684992313385,134.60494810715318,135.05950046237558
4,16,512,1024,2,1,0.000244140625,2.2848438675282523e-05,73.45300109591335,73.37394927162677,73.51000094786286
4,16,512,1024,4,1,0.000244140625,2.280870648974087e-05,51.570500363595784,51.12399812787771,52.51900001894683
4,16,512,1024,8,1,0.000244140625,2.244535062345676e-05,50.88300094939768,50.59300165157765,51.2409518705681
4,16,512,1024,16,1,0.000244140625,2.2080719645600766e-05,50.975498743355274,50.548999570310116,51.478500245139
4,16,512,2048,1,1,0.000244140625,1.68348487932235e-05,262.4734479468316,262.33295211568475,262.84595078323036
4,16,512,2048,2,1,0.000244140625,1.6736845282139257e-05,138.08994845021516,137.9239489324391,138.3414986776188
4,16,512,2048,4,1,0.000244140625,1.684350354480557e-05,73.65749916061759,73.5759997041896,74.39650071319193
4,16,512,2048,8,1,0.000244140625,1.665918534854427e-05,51.39350250829011,51.3584993313998,52.01144958846271
4,16,512,2048,16,1,0.000244140625,1.6323256204486825e-05,50.81400158815086,50.3910006955266,51.01095011923462
8,16,512,64,1,1,0.0009765625,8.245446952059865e-05,28.901497717015445,28.64394919015467,30.153998523019254
8,16,512,64,2,1,0.0009765625,7.985715637914836e-05,50.65500154159963,50.573499174788594,51.51049990672618
8,16,512,64,4,1,0.0009765625,7.77959794504568e-05,51.40249850228429,50.91700004413724,51.429448649287224
8,16,512,64,8,1,0.0009765625,7.77959794504568e-05,51.04149749968201,50.9679492097348,51.44900060258806
