PID                 PPID                COMMAND
2759560             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759562             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759564             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759566             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759568             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759570             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759576             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759578             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759580             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759582             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759584             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759586             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759588             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759590             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759592             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759594             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759596             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759598             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759600             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759602             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759604             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759606             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
