T,H,D,kv_len,splits,allclose,max_abs,mean_abs,median_us,min_us,max_us
16,16,512,136,8,1,0.0009765625,5.4835960327181965e-05,51.0744983330369,50.533999456092715,51.32649966981262
16,16,512,136,16,1,0.0009765625,5.3306270274333656e-05,51.01200076751411,50.494002061896026,51.312497816979885
16,16,512,388,1,1,0.00048828125,3.5922163078794256e-05,56.78350280504674,56.67094956152141,57.20144836232066
16,16,512,388,2,1,0.00048828125,3.5441778891254216e-05,51.0319514432922,50.91800121590495,51.472499035298824
16,16,512,388,4,1,0.00048828125,3.497742727631703e-05,50.96299864817411,50.67499878350645,51.030502072535455
16,16,512,388,8,1,0.00048828125,3.452631790423766e-05,51.00900016259402,50.75049994047731,51.17145192343742
16,16,512,388,16,1,0.00048828125,3.3416170481359586e-05,51.31844955030829,50.83849828224629,51.91700183786452
16,16,512,1024,1,1,0.00048828125,2.2820815502200276e-05,134.70095000229776,134.605000494048,135.0980019196868
16,16,512,1024,2,1,0.00048828125,2.2710357370669954e-05,73.99800233542919,73.89950042124838,74.73445148207247
16,16,512,1024,4,1,0.00048828125,2.2526131942868233e-05,51.58300045877695,51.19795096106827,51.62449961062521
16,16,512,1024,8,1,0.00048828125,2.226356082246639e-05,50.833000568673015,50.66700105089694,51.067949971184134
16,16,512,1024,16,1,0.00048828125,2.181734271289315e-05,50.96200038678944,50.756000564433634,51.34100210852921
32,16,512,136,1,1,0.0009765625,5.828595021739602e-05,29.227999038994312,28.69949967134744,30.372000765055418
32,16,512,136,2,1,0.0009765625,5.718177271774039e-05,50.76649831607938,50.284998724237084,51.39900022186339
32,16,512,136,4,1,0.0009765625,5.5859236454125494e-05,50.357001600787044,50.256948452442884,50.727499183267355
32,16,512,136,8,1,0.0009765625,5.504506771103479e-05,50.31200125813484,50.11945031583309,50.627999007701874
32,16,512,136,16,1,0.0009765625,5.3421055781655014e-05,50.38050003349781,50.28749874327332,50.97344983369112
32,16,512,388,1,1,0.00048828125,3.561179619282484e-05,56.83850031346083,56.83100025635213,57.16194864362478
32,16,512,388,2,1,0.00048828125,3.5246015613665804e-05,51.49999924469739,50.71450141258538,51.83100001886487
32,16,512,388,4,1,0.00048828125,3.484902117634192e-05,50.68450118415058,50.565999117679894,51.28445045556873
32,16,512,388,8,1,0.00048828125,3.417809057282284e-05,50.96950044389814,50.544002442620695,51.57999985385686
32,16,512,388,16,1,0.00048828125,3.3185755455633625e-05,50.84899894427508,50.697498954832554,51.079949480481446
32,16,512,1024,1,1,0.00048828125,2.2860433091409504e-05,140.476951492019,140.35344938747585,140.89395117480308
32,16,512,1024,2,1,0.00048828125,2.2886997612658888e-05,78.7079508882016,78.68749962653965,79.17495095171034
32,16,512,1024,4,1,0.00048828125,2.2590973458136432e-05,51.36050167493522,51.280000479891896,52.01545136515051
32,16,512,1024,8,1,0.00048828125,2.2281206838670187e-05,50.876999739557505,50.74700166005641,51.45645118318498
32,16,512,1024,16,1,0.00048828125,2.1750634914496914e-05,51.371948211453855,50.964951515197754,51.77849961910397
